Data_Source;Airline_name;Aircraft_Type;Category;Flight_Type;Count;Total_seat;Seat_Class;Seat_Type;Seat_Position;Recline;Premium;Pitch_minimum;Pitch_maximum;Width;Bedlength_maximum;Bedlength_minimum;Music;VideoType;Power_available;Power_kind;Usb_available;Usb_kind;Rating
SeatGuru;aeroflot;Russian Airlines Airbus A320;BUSINESS;short haul;20;140;Business;RECLINER;BULKHEAD;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A320;ECONOMY;short haul;120;140;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A320;ECONOMY;short haul;120;140;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A320;BUSINESS;short haul;20;140;Business;RECLINER;NORMAL;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A320;ECONOMY;short haul;120;140;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;1
SeatGuru;aeroflot;Russian Airlines Airbus A320;ECONOMY;short haul;120;140;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A320;ECONOMY;short haul;120;140;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A320;ECONOMY;short haul;120;140;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;4
SeatGuru;aeroflot;Russian Airlines Airbus A320 V2;BUSINESS;short haul;8;158;Business;RECLINER;BULKHEAD;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A320 V2;ECONOMY;short haul;150;158;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A320 V2;ECONOMY;short haul;150;158;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A320 V2;ECONOMY;short haul;150;158;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A320 V2;BUSINESS;short haul;8;158;Business;RECLINER;NORMAL;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A320 V2;ECONOMY;short haul;150;158;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;1
SeatGuru;aeroflot;Russian Airlines Airbus A320 V2;ECONOMY;short haul;150;158;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A321;BUSINESS;short haul;28;170;Business;RECLINER;BULKHEAD;18 degrees;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A321;ECONOMY;short haul;142;170;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A321;ECONOMY;short haul;142;170;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A321;ECONOMY;short haul;142;170;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;4
SeatGuru;aeroflot;Russian Airlines Airbus A321;BUSINESS;short haul;28;170;Business;RECLINER;NORMAL;18 degrees;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A321;ECONOMY;short haul;142;170;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A321;ECONOMY;short haul;142;170;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;1
SeatGuru;aeroflot;Russian Airlines Airbus A321;BUSINESS;short haul;28;170;Business;RECLINER;NORMAL;18 degrees;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A321;ECONOMY;short haul;142;170;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;BUSINESS;short haul;16;183;Business;RECLINER;BULKHEAD;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;5
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;5
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;BUSINESS;short haul;16;183;Business;RECLINER;NORMAL;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;4
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;1
SeatGuru;aeroflot;Russian Airlines Airbus A321 V2;ECONOMY;short haul;167;183;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;YES;NONE;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;BUSINESS;short haul;16;183;Business;RECLINER;BULKHEAD;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;BUSINESS;short haul;16;183;Business;RECLINER;NORMAL;;R;38.0;38.0;21.0;;;YES;PORTABLE;ALL;AC;NONE;;3
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;4
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;1
SeatGuru;aeroflot;Russian Airlines Airbus A321 V3;ECONOMY;short haul;167;183;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;YES;PORTABLE;NONE;;NONE;;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;BUSINESS;long haul;28;296;Business;ANGLE_FLAT;BULKHEAD;;A;60.2;60.2;26.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;ECONOMY;long haul;268;296;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;ECONOMY;long haul;268;296;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;BUSINESS;long haul;28;296;Business;ANGLE_FLAT;NORMAL;;A;60.2;60.2;26.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;ECONOMY;long haul;268;296;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;ECONOMY;long haul;268;296;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;4
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;ECONOMY;long haul;268;296;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;ECONOMY;long haul;268;296;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;5
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;ECONOMY;long haul;268;296;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;1
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V2;BUSINESS;long haul;28;296;Business;ANGLE_FLAT;NORMAL;;A;60.2;60.2;26.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;BUSINESS;long haul;36;301;Business;ANGLE_FLAT;BULKHEAD;;A;60.2;60.2;26.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;ECONOMY;long haul;265;301;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;5
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;ECONOMY;long haul;265;301;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;4
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;ECONOMY;long haul;265;301;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;BUSINESS;long haul;36;301;Business;ANGLE_FLAT;NORMAL;;A;60.2;60.2;26.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;ECONOMY;long haul;265;301;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;ECONOMY;long haul;265;301;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;4
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;ECONOMY;long haul;265;301;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;5
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;ECONOMY;long haul;265;301;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;1
SeatGuru;aeroflot;Russian Airlines Airbus A330 300 V3;BUSINESS;long haul;36;301;Business;ANGLE_FLAT;NORMAL;;A;60.2;60.2;26.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;BUSINESS;short haul;20;158;Business;RECLINER;BULKHEAD;;R;38.0;38.0;21.0;;;YES;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;ECONOMY;short haul;138;158;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;NONE;NONE;ALL;AC;NONE;;3
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;ECONOMY;short haul;138;158;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;NONE;NONE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;ECONOMY;short haul;138;158;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;NONE;NONE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;ECONOMY;short haul;138;158;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;NONE;NONE;ALL;AC;NONE;;5
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;BUSINESS;short haul;20;158;Business;RECLINER;NORMAL;;R;38.0;38.0;21.0;;;YES;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;ECONOMY;short haul;138;158;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;NONE;NONE;ALL;AC;NONE;;1
SeatGuru;aeroflot;Russian Airlines Boeing 737-800;ECONOMY;short haul;138;158;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;NONE;NONE;ALL;AC;NONE;;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;BUSINESS;long haul;30;402;Business;FLAT_BED;BULKHEAD;180 degrees;F;57.0;57.0;22.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;PREMIUM;long haul;48;402;Comfort;RECLINER;BULKHEAD;;R;38.0;38.0;20.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;PREMIUM;long haul;48;402;Comfort;RECLINER;NORMAL;;R;38.0;38.0;20.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;PREMIUM;long haul;48;402;Comfort;RECLINER;NORMAL;;R;38.0;38.0;20.0;;;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;5
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;BUSINESS;long haul;30;402;Business;FLAT_BED;NORMAL;180 degrees;F;57.0;57.0;22.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;3
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;EXIT_ROW;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;4
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;BUSINESS;long haul;30;402;Business;FLAT_BED;NORMAL;180 degrees;F;57.0;57.0;22.0;76.5;76.5;ON_DEMAND;ON_DEMAND;ALL;AC;ALL;PORT;2
SeatGuru;aeroflot;Russian Airlines Boeing 777-300ER;ECONOMY;long haul;324;402;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.0;;;ON_DEMAND;ON_DEMAND;NONE;;ALL;PORT;1
SeatGuru;aeroflot;Russian Airlines Sukhoi Superjet 100-95B;BUSINESS;short haul;12;87;Business;RECLINER;NORMAL;;R;36.0;36.0;18.3;;;NONE;SEATBACK;NONE;;NONE;;2
SeatGuru;aeroflot;Russian Airlines Sukhoi Superjet 100-95B;ECONOMY;short haul;75;87;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.3;;;NONE;NONE;NONE;;NONE;;3
SeatGuru;aeroflot;Russian Airlines Sukhoi Superjet 100-95B;BUSINESS;short haul;12;87;Business;RECLINER;NORMAL;;R;36.0;36.0;18.3;;;NONE;SEATBACK;NONE;;NONE;;3
SeatGuru;aeroflot;Russian Airlines Sukhoi Superjet 100-95B;ECONOMY;short haul;75;87;Economy;STANDARD;NORMAL;;N;30.0;32.0;18.3;;;NONE;NONE;NONE;;NONE;;1
SeatGuru;aeroflot;Russian Airlines Sukhoi Superjet 100-95B;ECONOMY;short haul;75;87;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.3;;;NONE;NONE;NONE;;NONE;;5
SeatGuru;aeroflot;Russian Airlines Sukhoi Superjet 100-95B;ECONOMY;short haul;75;87;Economy;STANDARD;BULKHEAD;;N;30.0;32.0;18.3;;;NONE;NONE;NONE;;NONE;;4
